z,w,g,a,ft,trt,tet,p,r,f1
0.1,9,3,arow,4.916458,16.822000,1.149595,0.899427,0.899740,0.897179
0.1,9,9,arow,1.150828,0.074000,0.117215,0.867689,0.865246,0.858692
0.1,9,12,arow,0.936609,0.035000,0.061592,0.877893,0.873867,0.871934
0.1,17,3,arow,20.447801,16.054000,0.962451,0.893876,0.884084,0.882277
0.1,17,9,arow,3.619286,0.074000,0.092051,0.895155,0.885671,0.883729
0.1,17,12,arow,2.727215,0.019000,0.051997,0.851645,0.833402,0.828278
0.1,33,3,arow,23.602588,0.997000,0.792137,0.842706,0.810696,0.817113
0.1,33,9,arow,3.920057,0.044000,0.084054,0.858394,0.796353,0.803518
0.1,33,12,arow,2.814689,0.015000,0.042987,0.849568,0.713561,0.714349
0.1,65,3,arow,32.006059,1.050000,0.703695,0.683935,0.658607,0.667613
0.1,65,9,arow,5.077628,0.064000,0.067146,0.820091,0.666730,0.686869
0.1,65,12,arow,3.528183,0.029000,0.037425,0.862531,0.712325,0.742458
0.2,9,3,arow,18.714437,142.845000,4.558532,0.865848,0.868203,0.865941
0.2,9,9,arow,2.714470,0.825000,0.523400,0.851900,0.851763,0.846971
0.2,9,12,arow,2.127330,0.290000,0.261162,0.882267,0.884596,0.881838
0.2,17,3,arow,88.975914,122.980000,4.235124,0.866383,0.862802,0.858221
0.2,17,9,arow,11.067656,5.450000,0.421791,0.863431,0.857550,0.851442
0.2,17,12,arow,6.757792,0.219000,0.225202,0.895144,0.895618,0.892389
0.2,33,3,arow,105.598542,81.756000,4.396108,0.905478,0.901046,0.900824
0.2,33,9,arow,13.262683,1.048000,0.409548,0.894915,0.887884,0.887316
0.2,33,12,arow,8.094704,0.246000,0.214002,0.896354,0.888561,0.888262
0.2,65,3,arow,173.886715,76.256000,3.759297,0.852796,0.848007,0.849938
0.2,65,9,arow,20.628951,0.477000,0.393131,0.836701,0.812448,0.818661
0.2,65,12,arow,12.392138,0.287000,0.219627,0.828667,0.803428,0.808499
0.3,9,3,arow,41.491496,457.521000,12.270240,0.829103,0.831585,0.828924
0.3,9,9,arow,5.173621,19.041000,1.206633,0.858852,0.859711,0.859232
0.3,9,12,arow,3.271190,1.414000,0.553976,0.866160,0.868149,0.866787
0.3,17,3,arow,195.334296,341.149000,10.867517,0.880523,0.882461,0.880207
0.3,17,9,arow,23.479188,17.754000,1.117026,0.879746,0.882589,0.879782
0.3,17,12,arow,13.886057,2.578000,0.563455,0.885038,0.887788,0.883937
0.3,33,3,arow,24.153301,20.972000,9.581952,0.936154,0.936629,0.935977
0.3,33,9,arow,29.087646,15.112000,0.972889,0.898061,0.897776,0.895589
0.3,33,12,arow,16.788219,1.933000,0.527474,0.895130,0.892301,0.890246
0.3,65,3,arow,396.537228,190.954000,9.099057,0.901124,0.898015,0.898861
0.3,65,9,arow,45.363289,2.987000,0.927017,0.891465,0.881425,0.882833
0.3,65,12,arow,26.537855,6.580000,0.502484,0.880765,0.869779,0.870393
